"ItemId","CurrentQty","Description","OrderDate","QtyTrigger","ReorderQty"
"300-3000","52456","Tape for Box in Feet","7-22-22","50000","250000"
"370-0440","70","Foam Inserts for Chassis Assembly","8-12-22","100","100"
"370-1993","88","Box for Chassis Assembly","9-28-22","50","50"
"191-2440","500","Iron Top Cover for Chassis","9-14-22","400","400"
"240-3150","256","Back overlay for chassis","8-23-22","180","90"
"240-2450","67","Overly for chassis","8-22-22","50","25"
"145-1816","15000","ROHS screw for chassis","9-1-22","18000","5000"
"140-1815","300000","Screw for metal chassis","9-15-2022","500000","100000"
"190-2440","10","A chassis with multiple sides","9-28-22","400","300"
"190-1995","1000","Metal Bracket","9-28-22","500","800"